raw_read_label,sample_id,parent_dir
SRR24010780,AE0000100C7A40,
SRR24010781,AE0000100CA232,
SRR24010782,AE0000100CD638,
SRR24010783,AE0000100CA130,
SRR24010784,AE0000100C3430,
SRR24010785,HC211129,
SRR24010786,AE0000100A8B3C,
SRR24010787,AE0000100A8B3C_gridion,
SRR24010788,AE0000106DC33E,
SRR24010789,AE00001073172E,
SRR24010790,AE00000FEC2245,
SRR24010791,AE0000100A9F46,
SRR24010792,AE0000100A9532,
SRR24010793,AE0000100A8839,
SRR24010794,NTC_28210,
SRR24010795,AE000010011724,
SRR24010796,AE00000FEC714A,
SRR24010797,AE000010014930,
SRR24010798,NTC_27269_2,
SRR24010799,NTC_27269_1,
SRR24010800,AE000010795B42,
SRR24010801,AE0000100CC63D,
SRR24010802,AE0000100CC536,
SRR24010803,AE0000100C702C,
SRR24010804,AE00001004492C,
SRR24010805,AE0000100DE93E,
